Source,Target,Weight,Database,QueryCoverage,EValue,SeqIdentity,AlnLength
ALS2,A0A481YTI7_unrelaxed_rank_001_alphafold2_ptm_model_3_seed_000,1.0,afdb-swissprot,0.38805069402534703,6.155e-09,0.11800000000000001,650
ALS2,A0A291ATN7_unrelaxed_rank_001_alphafold2_ptm_model_3_seed_000,1.0,afdb-swissprot,0.12190706095353047,1.777e-08,0.222,207
ALS2,S4VX90_unrelaxed_rank_001_alphafold2_ptm_model_3_seed_000,1.0,afdb-swissprot,0.1388050694025347,1.038e-09,0.17800000000000002,297
ALS2,A0A2H4UW39_unrelaxed_rank_001_alphafold2_ptm_model_3_seed_000,1.0,afdb-swissprot,0.20700060350030175,4.789e-12,0.175,445
ALS2,A0A481Z882_unrelaxed_rank_001_alphafold2_ptm_model_3_seed_000,1.0,afdb-swissprot,0.3928786964393482,2.8e-08,0.095,670
ALS2,E5ERA2_1_unrelaxed_rank_001_alphafold2_ptm_model_3_seed_000,1.0,afdb-swissprot,0.39167169583584793,1.046e-08,0.121,684
ALS2,A0A2U7UGE4_unrelaxed_rank_001_alphafold2_ptm_model_3_seed_000,1.0,afdb-swissprot,0.27459263729631866,4.44e-12,0.174,516
ALS2,A0A7S6P267_2_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_000,1.0,afdb-swissprot,0.3922751961375981,3.65e-08,0.125,677
ALS2,A0A0B5JCA0_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_000,1.0,afdb-swissprot,0.1315630657815329,9.696e-09,0.22,263
ALS2,A0A2U7UGM4_unrelaxed_rank_001_alphafold2_ptm_model_4_seed_000,1.0,afdb-swissprot,0.10983705491852747,1.181e-07,0.226,190
ALS2,A0A0B5J6E6_unrelaxed_rank_001_alphafold2_ptm_model_2_seed_000,1.0,afdb-swissprot,0.17139408569704284,7.664e-10,0.235,306
ALS2,A0A1B1IRD3_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_000,1.0,afdb-swissprot,0.19191309595654799,2.612e-12,0.21100000000000002,388
ALS2,A0A2I2L5B6_unrelaxed_rank_001_alphafold2_ptm_model_5_seed_000,1.0,afdb-swissprot,0.41339770669885334,7.218e-08,0.1,723
ALS2,A0A291ATH6_unrelaxed_rank_001_alphafold2_ptm_model_2_seed_000,1.0,afdb-swissprot,0.2788171394085697,1.332e-11,0.16699999999999998,491
ALS2,A0A0B5J6H0_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_000,1.0,afdb-swissprot,0.23536511768255883,1.887e-10,0.14800000000000002,396
ALS2,A0A7D7EZU9_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_000,1.0,afdb-swissprot,0.3964996982498491,5.331e-08,0.126,666
ALS2,A0A481Z7P7_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_000,1.0,afdb-swissprot,0.35063367531683765,5.174e-07,0.10099999999999999,590
ALS2,A0A2I2L466_unrelaxed_rank_001_alphafold2_ptm_model_4_seed_000,1.0,afdb-swissprot,0.40374170187085096,2.426e-07,0.10099999999999999,699
ALS2,S4W2U8_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_000,1.0,afdb-swissprot,0.13458056729028364,4.377e-09,0.24100000000000002,224
ALS2,A0A7S6P267_1_unrelaxed_rank_001_alphafold2_ptm_model_3_seed_000,1.0,afdb-swissprot,0.38382619191309597,4.796e-07,0.11599999999999999,661
ALS2,S4VYG2_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_000,1.0,afdb-swissprot,0.27097163548581776,1.93e-12,0.151,534
ALS2,A0A481Z6P2_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_000,1.0,afdb-swissprot,0.11225105612552806,1.284e-06,0.18899999999999997,190
ALS2,A0A3G5A623_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_000,1.0,afdb-swissprot,0.3747736873868437,8.151e-07,0.084,627
ALS2,A0A481Z2Q8_unrelaxed_rank_001_alphafold2_ptm_model_3_seed_000,1.0,afdb-swissprot,0.40615570307785154,1.661e-07,0.08800000000000001,722
ALS2,A0A6J5KNY1_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_000,1.0,afdb-swissprot,0.4127942063971032,3.815e-12,0.153,790
ALS2,A0A3G5AJ08_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_000,1.0,afdb-swissprot,0.13699456849728425,6.204e-08,0.222,261
ALS2,A0A3G5A245_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_000,1.0,afdb-swissprot,0.38382619191309597,4.796e-07,0.091,644
ALS2,A0A481Z0N2_unrelaxed_rank_001_alphafold2_ptm_model_3_seed_000,1.0,afdb-swissprot,0.11828605914302957,9.773e-08,0.183,196
ALS2,A0A481YTS5_unrelaxed_rank_001_alphafold2_ptm_model_4_seed_000,1.0,afdb-swissprot,0.11587205793602896,5.174e-07,0.166,204
ALS2,A0A6J5KVP4_2_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_000,1.0,afdb-swissprot,0.3940856970428485,1.284e-06,0.09699999999999999,675
ALS2,A0A7S6NZ26_1_unrelaxed_rank_001_alphafold2_ptm_model_3_seed_000,1.0,afdb-swissprot,0.3922751961375981,8.792e-07,0.09699999999999999,699
ALS2,A0A481Z5S1_unrelaxed_rank_001_alphafold2_ptm_model_3_seed_000,1.0,afdb-swissprot,0.10500905250452625,3.187e-06,0.174,183
ALS2,A0A6J5KPF3_unrelaxed_rank_001_alphafold2_ptm_model_3_seed_000,1.0,afdb-swissprot,0.7266143633071817,2.179e-11,0.095,1386
ALS2,S4VVU5_unrelaxed_rank_001_alphafold2_ptm_model_5_seed_000,1.0,afdb-swissprot,0.13458056729028364,3.162e-07,0.201,283
ALS2,A0A481YZ74_unrelaxed_rank_001_alphafold2_ptm_model_4_seed_000,1.0,afdb-swissprot,0.1683765841882921,6.95e-08,0.207,280
ALS2,A0A481Z6H5_unrelaxed_rank_001_alphafold2_ptm_model_2_seed_000,1.0,afdb-swissprot,0.11164755582377792,9.851e-07,0.2,205
ALS2,A0A481Z7B1_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_000,1.0,afdb-swissprot,0.12673506336753168,2.637e-06,0.177,214
ALS2,A0A2U7UCD9_unrelaxed_rank_001_alphafold2_ptm_model_2_seed_000,1.0,afdb-swissprot,0.08086904043452021,2.464e-05,0.264,136
ALS2,A0A481Z7G5_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_000,1.0,afdb-swissprot,0.10681955340977671,2.266e-06,0.157,222
ALS2,A0A481Z7F2_unrelaxed_rank_001_alphafold2_ptm_model_4_seed_000,1.0,afdb-swissprot,0.11406155703077851,1.948e-06,0.185,216
ALS2,A0A2I2L3C6_unrelaxed_rank_001_alphafold2_ptm_model_4_seed_000,1.0,afdb-swissprot,0.12975256487628245,8.792e-07,0.159,282
ALS2,A0A3G5ABX5_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_000,1.0,afdb-swissprot,0.39891369945684974,1.806e-06,0.095,704
ALS2,A0A2U7UFE7_unrelaxed_rank_001_alphafold2_ptm_model_3_seed_000,1.0,afdb-swissprot,0.07905853952926976,9.56e-06,0.254,153
ALS2,A0A6J5L7E0_unrelaxed_rank_001_alphafold2_ptm_model_2_seed_000,1.0,afdb-swissprot,0.3940856970428485,2.48e-09,0.132,748
ALS2,A0A1V0SEC0_unrelaxed_rank_001_alphafold2_ptm_model_3_seed_000,1.0,afdb-swissprot,0.2100181050090525,1.078e-09,0.138,420
ALS2,A0A0B5JCN4_unrelaxed_rank_001_alphafold2_ptm_model_2_seed_000,1.0,afdb-swissprot,0.07302353651176825,3.599e-05,0.28,121
ALS2,A0A481Z638_unrelaxed_rank_001_alphafold2_ptm_model_2_seed_000,1.0,afdb-swissprot,0.09656004828002414,4.315e-06,0.19399999999999998,180
ALS2,A0A1B1IRH0_unrelaxed_rank_001_alphafold2_ptm_model_5_seed_000,1.0,afdb-swissprot,0.0700060350030175,8.932e-05,0.327,116
ALS2,A0A481Z8D7_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_000,1.0,afdb-swissprot,0.4164152082076041,1.128e-08,0.111,751
ALS2,A0A2U7UAD2_unrelaxed_rank_001_alphafold2_ptm_model_3_seed_000,1.0,afdb-swissprot,0.08992154496077248,2.2e-05,0.22,150
ALS2,A0A4Y5NSS8_unrelaxed_rank_001_alphafold2_ptm_model_3_seed_000,1.0,afdb-swissprot,0.3832226916113458,8.533e-06,0.077,658
ALS2,A0A481Z3Y1_unrelaxed_rank_001_alphafold2_ptm_model_5_seed_000,1.0,afdb-swissprot,0.17863608931804467,1.119e-09,0.177,388
ALS2,A0A481Z682_unrelaxed_rank_001_alphafold2_ptm_model_4_seed_000,1.0,afdb-swissprot,0.10681955340977671,1.112e-05,0.136,227
ALS2,A0A481YZK8_unrelaxed_rank_001_alphafold2_ptm_model_4_seed_000,1.0,afdb-swissprot,0.11768255884127941,5.625e-06,0.182,214
ALS2,A0A8T8L6P7_unrelaxed_rank_001_alphafold2_ptm_model_3_seed_000,1.0,afdb-swissprot,0.3977066988533494,4.315e-06,0.10099999999999999,710
ALS2,S4VSI3_unrelaxed_rank_001_alphafold2_ptm_model_4_seed_000,1.0,afdb-swissprot,0.1732045866022933,1.661e-07,0.16699999999999998,393
ALS2,A0A481Z583_unrelaxed_rank_001_alphafold2_ptm_model_4_seed_000,1.0,afdb-swissprot,0.38080869040434523,1.752e-05,0.095,639
ALS2,A0A481Z6V0_unrelaxed_rank_001_alphafold2_ptm_model_5_seed_000,1.0,afdb-swissprot,0.12070006035003017,6.798e-06,0.147,258
ALS2,A0A3G5A2M7_unrelaxed_rank_001_alphafold2_ptm_model_4_seed_000,1.0,afdb-swissprot,0.35787567893783945,0.0001001,0.092,597
ALS2,A0A3G5AEA6_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_000,1.0,afdb-swissprot,0.11406155703077851,3.336e-05,0.147,196
ALS2,A0A2U7UF98_unrelaxed_rank_001_alphafold2_ptm_model_3_seed_000,1.0,afdb-swissprot,0.11647555823777912,2.955e-06,0.209,220
ALS2,L7TJ61_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_000,1.0,afdb-swissprot,0.3892576946288473,3.093e-05,0.086,681
ALS2,A0A4P6VQ89_unrelaxed_rank_001_alphafold2_ptm_model_2_seed_000,1.0,afdb-swissprot,0.06095353047676524,0.0002484,0.287,101
ALS2,A0A0B5IXM4_unrelaxed_rank_001_alphafold2_ptm_model_3_seed_000,1.0,afdb-swissprot,0.08509354254677128,0.0003627,0.23,143
ALS2,S4VVH9_unrelaxed_rank_001_alphafold2_ptm_model_3_seed_000,1.0,afdb-swissprot,0.07724803862401931,0.0001979,0.19,173
ALS2,A0A481YY08_unrelaxed_rank_001_alphafold2_ptm_model_3_seed_000,1.0,afdb-swissprot,0.11406155703077851,1.687e-05,0.193,207
ALS2,A0A0B5JBC0_unrelaxed_rank_001_alphafold2_ptm_model_2_seed_000,1.0,afdb-swissprot,0.1756185878092939,9.41e-08,0.16,356
ALS2,A0A6J5Q1M1_unrelaxed_rank_001_alphafold2_ptm_model_4_seed_000,1.0,afdb-swissprot,0.40615570307785154,4.517e-05,0.10400000000000001,677
ALS2,A0A481Z1B3_unrelaxed_rank_001_alphafold2_ptm_model_2_seed_000,1.0,afdb-swissprot,0.060350030175015085,0.000665,0.254,102
ALS2,A0A481Z7W7_unrelaxed_rank_001_alphafold2_ptm_model_3_seed_000,1.0,afdb-swissprot,0.10621605310802655,9.635e-05,0.188,196
ALS2,A0A2I2L546_unrelaxed_rank_001_alphafold2_ptm_model_4_seed_000,1.0,afdb-swissprot,0.412190706095353,5.67e-05,0.07,713
ALS2,A0A481Z7Y3_unrelaxed_rank_001_alphafold2_ptm_model_4_seed_000,1.0,afdb-swissprot,0.10681955340977671,7.677e-05,0.174,195
ALS2,A0A2K9VHT9_unrelaxed_rank_001_alphafold2_ptm_model_3_seed_000,1.0,afdb-swissprot,0.38080869040434523,1.45e-05,0.106,678
ALS2,A0A6G6XPH1_unrelaxed_rank_001_alphafold2_ptm_model_2_seed_000,1.0,afdb-swissprot,0.4019312009656005,4.655e-06,0.096,724
ALS2,A0A2C9CZ91_unrelaxed_rank_001_alphafold2_ptm_model_5_seed_000,1.0,afdb-swissprot,0.12190706095353047,8.932e-05,0.14400000000000002,229
ALS2,A0A3Q9R6X9_unrelaxed_rank_001_alphafold2_ptm_model_2_seed_000,1.0,afdb-swissprot,0.3983101991550996,0.0001209,0.087,687
ALS2,A0A2U7U9D4_unrelaxed_rank_001_alphafold2_ptm_model_3_seed_000,1.0,afdb-swissprot,0.18949909474954738,1.137e-07,0.15,431
ALS2,A0A0B5IXY1_unrelaxed_rank_001_alphafold2_ptm_model_4_seed_000,1.0,afdb-swissprot,0.11828605914302957,2.284e-05,0.18899999999999997,248
ALS2,A0A4D6EIM7_unrelaxed_rank_001_alphafold2_ptm_model_3_seed_000,1.0,afdb-swissprot,0.13578756789378393,2.182e-06,0.16699999999999998,274
ALS2,A0A2I7R9C7_unrelaxed_rank_001_alphafold2_ptm_model_3_seed_000,1.0,afdb-swissprot,0.3995171997585999,0.0001079,0.07,719
ALS2,A0A0B5JA84_unrelaxed_rank_001_alphafold2_ptm_model_2_seed_000,1.0,afdb-swissprot,0.07724803862401931,5.061e-05,0.265,128
ALS2,A0A481Z821_unrelaxed_rank_001_alphafold2_ptm_model_3_seed_000,1.0,afdb-swissprot,0.12009656004828002,1.071e-05,0.156,255
ALS2,A0A7S7YF50_unrelaxed_rank_001_alphafold2_ptm_model_3_seed_000,1.0,afdb-swissprot,0.10138805069402534,0.0001766,0.17,188
ALS2,S4VXL2_unrelaxed_rank_001_alphafold2_ptm_model_2_seed_000,1.0,afdb-swissprot,0.1659625829812915,4.315e-06,0.16899999999999998,324
ALS2,A0A0B5J6Y8_unrelaxed_rank_001_alphafold2_ptm_model_4_seed_000,1.0,afdb-swissprot,0.05491852745926373,0.003389,0.315,92
ALS2,G8DGX7_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_000,1.0,afdb-swissprot,0.2492456246228123,5.133e-08,0.153,431
ALS2,A0A7D3UG80_unrelaxed_rank_001_alphafold2_ptm_model_3_seed_000,1.0,afdb-swissprot,0.12492456246228123,0.0001637,0.12300000000000001,243
ANG,AF-P03950-F1-model_v6 Angiogenin,1.0,afdb-swissprot,1.0,1.222e-31,1.0,147
ANG,AF-P21570-F1-model_v6 Angiogenin,1.0,afdb-swissprot,0.9047619047619048,1.335e-23,0.759,133
ANG,AF-Q5GAN1-F1-model_v6 Angiogenin ribonuclease 5,1.0,afdb-swissprot,0.891156462585034,6.462e-22,0.6409999999999999,131
ANG,AF-P97802-F1-model_v6 Angiogenin-3,1.0,afdb-swissprot,1.0,2.579e-22,0.6459999999999999,147
ANG,AF-Q3TMQ6-F1-model_v6 Angiogenin-4,1.0,afdb-swissprot,0.9183673469387755,1.134e-21,0.637,135
ANG,AF-Q5GAM5-F1-model_v6 Angiogenin ribonuclease 2,1.0,afdb-swissprot,1.0,2.309e-23,0.696,155
ANG,AF-Q64438-F1-model_v6 Angiogenin-2,1.0,afdb-swissprot,0.9047619047619048,4.985e-21,0.6609999999999999,133
ANG,AF-Q5GAN0-F1-model_v6 Angiogenin ribonuclease 6,1.0,afdb-swissprot,0.9931972789115646,3.285e-19,0.56,148
ANG,AF-A5HAK1-F1-model_v6 RNase 2,1.0,afdb-swissprot,0.9591836734693877,4.223e-13,0.36,147
ANG,AF-A5HAK0-F1-model_v6 Ribonuclease-like 3,1.0,afdb-swissprot,0.9251700680272109,4.17e-12,0.335,143
ANG,AF-O55004-F1-model_v6 Ribonuclease 4,1.0,afdb-swissprot,0.9251700680272109,1.052e-11,0.408,142
ANG,AF-Q9JJH1-F1-model_v6 Ribonuclease 4,1.0,afdb-swissprot,0.9251700680272109,9.3e-12,0.40399999999999997,141
ANG,AF-P34096-F1-model_v6 Ribonuclease 4,1.0,afdb-swissprot,0.9251700680272109,1.432e-11,0.40399999999999997,141
ANG,AF-Q8VD89-F1-model_v6 Ribonuclease pancreatic gamma-type,1.0,afdb-swissprot,0.9387755102040817,4.318e-11,0.35,151
ANG,AF-P00684-F1-model_v6 Ribonuclease pancreatic beta-type,1.0,afdb-swissprot,0.9387755102040817,4.318e-11,0.337,151
ANG,AF-P00683-F1-model_v6 Ribonuclease pancreatic,1.0,afdb-swissprot,0.9115646258503401,1.159e-10,0.342,140
ANG,AF-P07998-F1-model_v6 Ribonuclease pancreatic,1.0,afdb-swissprot,0.9115646258503401,5.526e-11,0.361,141
ANG,AF-Q8VD88-F1-model_v6 Ribonuclease pancreatic delta-type,1.0,afdb-swissprot,0.9183673469387755,1.483e-10,0.35200000000000004,142
ANG,AF-Q5GAN4-F1-model_v6 Probable inactive ribonuclease-like protein 12,1.0,afdb-swissprot,0.9455782312925171,2.382e-09,0.20800000000000002,149
ANG,AF-Q9H1E1-F1-model_v6 Ribonuclease 7,1.0,afdb-swissprot,0.9047619047619048,7.23e-09,0.294,153
ANG,AF-Q5GAM8-F1-model_v6 Probable inactive ribonuclease-like protein 12,1.0,afdb-swissprot,0.9455782312925171,9.843e-09,0.24600000000000002,146
ANG,AF-Q9D244-F1-model_v6 Ribonuclease K6,1.0,afdb-swissprot,0.9047619047619048,1.612e-08,0.297,148
ANG,AF-A5HAK2-F1-model_v6 RNase 3,1.0,afdb-swissprot,0.9387755102040817,1.092e-07,0.253,142
ANG,AF-Q5WN11-F1-model_v6 Pre-eosinophil-associated ribonuclease-2,1.0,afdb-swissprot,0.9251700680272109,2.064e-08,0.282,152
ANG,AF-O35292-F1-model_v6 Ribonuclease 2B,1.0,afdb-swissprot,0.9251700680272109,1.824e-08,0.26899999999999996,152
ANG,AF-Q8TDE3-F1-model_v6 Ribonuclease 8,1.0,afdb-swissprot,0.9251700680272109,4.603e-08,0.27699999999999997,148
ANG,"AF-Q5GAM3-F1-model_v6 Eosinophil-associated, ribonuclease A family, member 1 like 1",1.0,afdb-swissprot,0.9251700680272109,2.641e-08,0.298,154
ANG,AF-Q93091-F1-model_v6 Ribonuclease K6,1.0,afdb-swissprot,0.9047619047619048,1.612e-08,0.28,146
ANG,AF-Q5GAL8-F1-model_v6 Probable inactive ribonuclease-like protein 12,1.0,afdb-swissprot,0.9047619047619048,1.715e-08,0.24100000000000002,149
ANG,AF-P70709-F1-model_v6 Eosinophil cationic protein,1.0,afdb-swissprot,0.9251700680272109,4.895e-08,0.298,151
ANG,AF-Q6QDX6-F1-model_v6 Ribonuclease K6,1.0,afdb-swissprot,0.891156462585034,6.266e-08,0.302,152
ANG,"AF-Q8K196-F1-model_v6 Eosinophil-associated, ribonuclease A family, member 11",1.0,afdb-swissprot,0.9115646258503401,7.54e-08,0.298,151
ANG,AF-P97425-F1-model_v6 Eosinophil cationic protein 2,1.0,afdb-swissprot,0.9251700680272109,1.161e-07,0.24600000000000002,154
ANG,"AF-E9PU07-F1-model_v6 Eosinophil-associated, ribonuclease A family, member 1",1.0,afdb-swissprot,0.8503401360544217,1.581e-07,0.272,147
ANG,AF-P12724-F1-model_v6 Eosinophil cationic protein,1.0,afdb-swissprot,0.9251700680272109,9.65e-08,0.265,158
ANG,AF-A0A8M9PJZ0-F1-model_v6 Uncharacterized protein,1.0,afdb-swissprot,0.8503401360544217,2.59e-07,0.21600000000000003,143
ANG,AF-Q5GAM2-F1-model_v6 Ribonuclease 17,1.0,afdb-swissprot,0.9251700680272109,7.54e-08,0.272,154
ANG,AF-O35291-F1-model_v6 Non-secretory ribonuclease,1.0,afdb-swissprot,0.9115646258503401,6.664e-08,0.315,149
ANG,AF-Q923L7-F1-model_v6 Ear6 protein,1.0,afdb-swissprot,0.9251700680272109,8.019e-08,0.267,153
ANG,AF-O35290-F1-model_v6 Eosinophil cationic-type ribonuclease 3,1.0,afdb-swissprot,0.9251700680272109,1.681e-07,0.25,152
ANG,AF-P97426-F1-model_v6 Eosinophil cationic protein 1,1.0,afdb-swissprot,0.9251700680272109,1.681e-07,0.24100000000000002,153
ANG,AF-Q923L6-F1-model_v6 Eosinophil-associated ribonuclease 10,1.0,afdb-swissprot,0.9251700680272109,1.902e-07,0.24600000000000002,154
ANG,AF-P10153-F1-model_v6 Non-secretory ribonuclease,1.0,afdb-swissprot,0.9251700680272109,2.152e-07,0.265,158
ANG,"AF-F6YUX7-F1-model_v6 Eosinophil-associated, ribonuclease A family, member 14",1.0,afdb-swissprot,0.9523809523809523,1.235e-07,0.28600000000000003,157
ANG,AF-Q5GAM7-F1-model_v6 Probable inactive ribonuclease-like protein 13,1.0,afdb-swissprot,0.9455782312925171,9.461e-07,0.259,154
ANG,AF-Q5GAL7-F1-model_v6 Probable inactive ribonuclease-like protein 13,1.0,afdb-swissprot,0.9183673469387755,2.11e-06,0.248,153
ANG,AF-P60153-F1-model_v6 Inactive ribonuclease-like protein 9,1.0,afdb-swissprot,0.8435374149659864,1.116e-05,0.154,136
ANG,AF-Q5GAN3-F1-model_v6 Probable inactive ribonuclease-like protein 13,1.0,afdb-swissprot,0.9523809523809523,3.456e-06,0.22,159
ANG,AF-Q5QJV4-F1-model_v6 Inactive ribonuclease-like protein 9,1.0,afdb-swissprot,0.8231292517006803,6.813e-06,0.166,132
ANG,AF-D4ABQ0-F1-model_v6 Epididymal secretory protein E3-beta-like,1.0,afdb-swissprot,0.9251700680272109,5.662e-06,0.14400000000000002,145
ANG,AF-Q8K0E4-F1-model_v6 Epididymal protein 3B,1.0,afdb-swissprot,0.9251700680272109,1.828e-05,0.158,139
ANG,AF-Q14507-F1-model_v6 Epididymal secretory protein E3-alpha,1.0,afdb-swissprot,0.9523809523809523,8.198e-06,0.17300000000000001,144
ANG,AF-A0A8I6GM99-F1-model_v6 Ribonuclease A-domain domain-containing protein,1.0,afdb-swissprot,0.5918367346938775,8.198e-06,0.267,101
ANG,AF-P56851-F1-model_v6 Epididymal secretory protein E3-beta,1.0,afdb-swissprot,0.9523809523809523,2.995e-05,0.17600000000000002,147
ANG,AF-P60153-2-F1-model_v6 Inactive ribonuclease-like protein 9,1.0,afdb-swissprot,0.9455782312925171,2.068e-05,0.127,172
ANG,AF-Q8TAA1-F1-model_v6 Putative inactive ribonuclease 11,1.0,afdb-swissprot,0.9183673469387755,2.539e-06,0.183,147
ANG,AF-P60154-F1-model_v6 Inactive ribonuclease-like protein 9,1.0,afdb-swissprot,0.9183673469387755,1.187e-05,0.168,172
ANG,AF-Q5GAN6-2-F1-model_v6 Inactive ribonuclease-like protein 10,1.0,afdb-swissprot,0.7619047619047619,1.343e-05,0.191,120
ANG,AF-Q5GAN6-F1-model_v6 Inactive ribonuclease-like protein 10,1.0,afdb-swissprot,0.891156462585034,2.489e-05,0.188,138
ANG,AF-Q9D5A9-F1-model_v6 Inactive ribonuclease-like protein 10,1.0,afdb-swissprot,0.8027210884353742,6.28e-05,0.2,125
ANG,AF-Q5GAM0-F1-model_v6 Inactive ribonuclease-like protein 10,1.0,afdb-swissprot,0.7619047619047619,6.679e-05,0.237,122
ANG,AF-Q71MJ0-F1-model_v6 Angiogenin,1.0,afdb-swissprot,1.0,3.71e-31,1.0,147
ANG,AF-Q8WME8-F1-model_v6 Angiogenin,1.0,afdb-swissprot,1.0,4.749e-31,0.993,147
ANG,AF-Q8WN67-F1-model_v6 Angiogenin,1.0,afdb-swissprot,1.0,9.761e-30,0.9309999999999999,147
ANG,AF-Q861Y4-F1-model_v6 Angiogenin,1.0,afdb-swissprot,0.9931972789115646,5.062e-28,0.8420000000000001,146
ANG,AF-Q861Y2-F1-model_v6 Angiogenin,1.0,afdb-swissprot,0.9931972789115646,1.061e-27,0.828,146
ANG,AF-Q861Y1-F1-model_v6 Angiogenin,1.0,afdb-swissprot,0.9931972789115646,2.678e-27,0.828,146
ANG,AF-Q861Y3-F1-model_v6 Angiogenin,1.0,afdb-swissprot,0.9931972789115646,2.367e-27,0.828,146
ANG,AF-Q8WN66-F1-model_v6 Angiogenin,1.0,afdb-swissprot,0.9931972789115646,9.783e-27,0.8009999999999999,146
ANG,AF-Q8WN65-F1-model_v6 Angiogenin,1.0,afdb-swissprot,0.9931972789115646,4.387e-27,0.794,146
ANG,AF-P31347-F1-model_v6 Angiogenin,1.0,afdb-swissprot,0.9115646258503401,2.738e-25,0.753,134
ANG,AF-Q8WN64-F1-model_v6 Angiogenin,1.0,afdb-swissprot,0.9931972789115646,6.623e-26,0.76,146
ANG,AF-Q8WN63-F1-model_v6 Angiogenin,1.0,afdb-swissprot,0.9931972789115646,4.043e-26,0.767,146
ANG,AF-Q5VI84-F1-model_v6 Angiogenin,1.0,afdb-swissprot,0.9183673469387755,3.229e-24,0.755,135
ANG,AF-Q8WN62-F1-model_v6 Angiogenin,1.0,afdb-swissprot,0.9931972789115646,1.971e-24,0.698,146
ANG,AF-Q8WN61-F1-model_v6 Angiogenin,1.0,afdb-swissprot,0.9931972789115646,5.29e-24,0.7190000000000001,146
ANG,AF-Q861Y5-F1-model_v6 Angiogenin,1.0,afdb-swissprot,0.9931972789115646,2.011e-25,0.8009999999999999,146
ANG,AF-P31346-F1-model_v6 Angiogenin,1.0,afdb-swissprot,0.9795918367346939,3.166e-23,0.701,144
ANG,AF-Q8WN60-F1-model_v6 Angiogenin,1.0,afdb-swissprot,0.9931972789115646,9.804e-24,0.705,146
ANG,AF-P10152-F1-model_v6 Angiogenin-1,1.0,afdb-swissprot,1.0,4.876e-23,0.659,147
ANG,AF-P80929-F1-model_v6 Angiogenin-2,1.0,afdb-swissprot,0.8231292517006803,5.42e-19,0.532,122
